Colonne,Bloc,Type,Description,Utilisation ML
cgm_slope_15,CGM agrégé,Float (mg/dL/min),"Pente linéaire de la glycémie sur les 15 dernières minutes avant le repas. Positive = glycémie en hausse, négative = en baisse, ~0 = stable. Capture la tendance immédiate.",Feature numérique — input baseline et modèle séquentiel
cgm_slope_30,CGM agrégé,Float (mg/dL/min),Pente linéaire de la glycémie sur les 30 dernières minutes avant le repas. Tendance glycémique à plus long terme que cgm_slope_15.,Feature numérique — input baseline et modèle séquentiel
n_valid_pre,CGM agrégé,Entier,Nombre de points CGM valides (non-NaN) dans la fenêtre pré-repas de 60 min. Indicateur de qualité du signal. Minimum requis : 30 points.,Indicateur qualité — ne pas utiliser comme feature prédictive
bio_group,Biomarqueurs patient,Catégoriel (string),Groupe métabolique du patient : healthy / prediabetes / t2d. Déterminé à partir du taux d'HbA1c mesuré au jour 1 de l'étude.,Feature catégorielle — encodage one-hot ou ordinal
bio_group_encoded,Biomarqueurs patient,Entier (0/1/2),"Groupe métabolique encodé ordinalement : 0=healthy, 1=prediabetes, 2=t2d. L'ordre est cliniquement justifié (progression de la maladie).",Feature numérique ordinale — input modèle
bio_gender_encoded,Biomarqueurs patient,Entier (0/1),"Genre encodé : 0=Masculin, 1=Féminin. Influence la répartition des masses tissulaires et la cinétique métabolique basale.",Feature numérique binaire — input modèle
bio_Age,Biomarqueurs patient,Entier (années),Âge du patient en années. La sensibilité à l'insuline diminue avec l'âge.,Feature numérique — input modèle
bio_BMI,Biomarqueurs patient,Float (kg/m²),Indice de Masse Corporelle. Fortement corrélé à l'insulinorésistance. Remplace les variables poids et taille bruts (redondants).,Feature numérique — input modèle
bio_A1c PDL (Lab),Biomarqueurs patient,Float (%),"HbA1c en %, mesurée au jour 1. Reflète le contrôle glycémique moyen sur 2-3 mois. Biomarqueur le plus discriminant entre les 3 groupes. Seuils : <5.7%=healthy, 5.7-6.4%=prediabetes, >6.4%=t2d.",Feature numérique prioritaire — input modèle
bio_Fasting GLU - PDL (Lab),Biomarqueurs patient,Float (mg/dL),Glycémie à jeun mesurée en laboratoire au jour 1. Évalue la capacité basale de l'organisme à réguler sa glycémie après une nuit sans apport calorique.,Feature numérique — input modèle
bio_Insulin,Biomarqueurs patient,Float (µU/mL),"Taux d'insuline à jeun mesuré au jour 1. Un taux élevé signale une hyperinsulinémie compensatoire, marqueur précoce de résistance à l'insuline.",Feature numérique — input modèle
bio_Triglycerides,Biomarqueurs patient,Float (mg/dL),Triglycérides sanguins mesurés au jour 1. Marqueur du syndrome métabolique. Retenu car peu colinéaire avec les autres biomarqueurs conservés.,Feature numérique — input modèle
bio_HDL,Biomarqueurs patient,Float (mg/dL),Cholestérol HDL mesuré au jour 1. Corrélé négativement à l'insulinorésistance : un HDL bas est un signal de risque métabolique élevé.,Feature numérique — input modèle
cgm_t-60 à cgm_t-1,Séquence CGM pré-repas,60 colonnes Float (mg/dL),"Séquence de 60 valeurs CGM Abbott, une par minute, de t-60min à t-1min avant le repas. cgm_t-60 = glycémie 60 min avant le repas (la plus ancienne). cgm_t-1 = glycémie 1 min avant le repas (la plus récente). Input temporel direct du modèle LSTM/GRU. Peut contenir des NaN si le signal CGM était absent.",Séquence input LSTM/GRU — normaliser par patient avant entraînement
cgm_post_t1 à cgm_post_t90,Séquence CGM post-repas,90 colonnes Float (mg/dL),"Séquence de 90 valeurs CGM Abbott, une par minute, de t+1min à t+90min après le repas. Représente la courbe complète de la PPGR. Extrait pour exploration future (modèle seq-to-seq). Ne pas inclure dans les features d'entrée.",Réservé exploration future — ne pas inclure dans les features d'entrée
cgm_target_t30,Cible,Float (mg/dL),Glycémie Abbott à t+30 min après le début du repas. Horizon court — correspond au début de la montée glycémique pour la plupart des repas mixtes.,Variable cible horizon court
cgm_target_t60,Cible,Float (mg/dL),Glycémie Abbott à t+60 min après le début du repas. Horizon principal du projet — correspond approximativement au pic glycémique postprandial pour un repas standard. Cible de référence pour l'entraînement et l'évaluation.,Variable cible principale — horizon de référence
cgm_target_t90,Cible,Float (mg/dL),Glycémie Abbott à t+90 min après le début du repas. Horizon long — début de la phase de retour à la normale. Utile pour évaluer la durée de l'hyperglycémie postprandiale.,Variable cible horizon long
glycemic_label,Cible,Catégoriel (string),"Label clinique dérivé de cgm_target_t60. 4 classes : hypo (<70 mg/dL), normal (70-140 mg/dL), hyper_mild (140-180 mg/dL), hyper_severe (>180 mg/dL). Utilisé pour la tâche de classification secondaire. Classes naturellement déséquilibrées (normal surreprésenté).",Variable cible classification — gérer le déséquilibre (SMOTE ou class_weight)
